2024-06-13 13:27:25,521 ib_async.client INFO Connecting to 192.168.1.36:4001 with clientId 27...
2024-06-13 13:27:25,522 ib_async.client INFO Connected
2024-06-13 13:27:25,539 ib_async.client INFO Logged on to server version 176
2024-06-13 13:27:25,584 ib_async.wrapper INFO Warning 2104, reqId -1: Market data farm connection is OK:usfuture
2024-06-13 13:27:25,585 ib_async.wrapper INFO Warning 2104, reqId -1: Market data farm connection is OK:usfarm
2024-06-13 13:27:25,585 ib_async.wrapper INFO Warning 2107, reqId -1: HMDS data farm connection is inactive but should be available upon demand.ushmds
2024-06-13 13:27:25,585 ib_async.wrapper INFO Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefil
2024-06-13 13:27:25,585 ib_async.client INFO API connection ready
2024-06-13 13:27:25,587 ib_async.wrapper INFO position: Position(account='U2340948', contract=Stock(conId=4762, symbol='BA', exchange='NYSE', currency='USD', localSymbol='BA', tradingClass='BA'), position=254.0, avgCost=203.21112205)
2024-06-13 13:27:26,187 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a392c.01.01', time=datetime.datetime(2024, 6, 13, 12, 54, 56, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=19638.0, permId=696618010, clientId=1, orderId=1131, liquidation=0, cumQty=1.0, avgPrice=19638.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-13 13:27:26,187 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a397a.01.01', time=datetime.datetime(2024, 6, 13, 12, 59, 48, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=19628.5, permId=696618052, clientId=1, orderId=1132, liquidation=0, cumQty=1.0, avgPrice=19628.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-13 13:27:26,187 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a398a.01.01', time=datetime.datetime(2024, 6, 13, 13, 0, 14, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=19631.0, permId=696618075, clientId=1, orderId=1133, liquidation=0, cumQty=1.0, avgPrice=19631.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-13 13:27:26,187 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a39b9.01.01', time=datetime.datetime(2024, 6, 13, 13, 2, 30, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=19629.0, permId=696618098, clientId=1, orderId=1134, liquidation=0, cumQty=1.0, avgPrice=19629.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-13 13:27:26,187 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a39ba.01.01', time=datetime.datetime(2024, 6, 13, 13, 2, 32, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=19631.5, permId=696618147, clientId=1, orderId=1135, liquidation=0, cumQty=1.0, avgPrice=19631.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-13 13:27:26,188 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a3a11.01.01', time=datetime.datetime(2024, 6, 13, 13, 7, 2, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=19616.75, permId=696618196, clientId=1, orderId=1136, liquidation=0, cumQty=1.0, avgPrice=19616.75, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-13 13:27:26,188 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a3a1a.01.01', time=datetime.datetime(2024, 6, 13, 13, 7, 13, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=19619.25, permId=696618223, clientId=1, orderId=1137, liquidation=0, cumQty=1.0, avgPrice=19619.25, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-13 13:27:26,188 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a3a45.01.01', time=datetime.datetime(2024, 6, 13, 13, 9, 24, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=19618.5, permId=696618250, clientId=1, orderId=1138, liquidation=0, cumQty=1.0, avgPrice=19618.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-13 13:27:26,188 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a3a53.01.01', time=datetime.datetime(2024, 6, 13, 13, 10, 20, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=19621.0, permId=696618279, clientId=1, orderId=1139, liquidation=0, cumQty=1.0, avgPrice=19621.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-13 13:27:26,189 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.666a3a92.01.01', time=datetime.datetime(2024, 6, 13, 13, 14, 29, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=19624.75, permId=696618309, clientId=1, orderId=1140, liquidation=0, cumQty=1.0, avgPrice=19624.75, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
