2024-06-18 23:50:58,060 ib_async.client INFO Connecting to 192.168.1.36:4001 with clientId 35...
2024-06-18 23:50:58,624 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670e577.01.01', time=datetime.datetime(2024, 6, 18, 14, 3, 53, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20185.25, permId=1279160840, clientId=85, orderId=1519, liquidation=0, cumQty=1.0, avgPrice=20185.25, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,630 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670e588.01.01', time=datetime.datetime(2024, 6, 18, 14, 4, 2, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20182.75, permId=1279160862, clientId=85, orderId=1520, liquidation=0, cumQty=1.0, avgPrice=20182.75, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,635 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670e5bd.01.01', time=datetime.datetime(2024, 6, 18, 14, 4, 33, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20187.0, permId=1279160888, clientId=85, orderId=1522, liquidation=0, cumQty=1.0, avgPrice=20187.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,642 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670ec5b.01.01', time=datetime.datetime(2024, 6, 18, 14, 18, 54, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20184.5, permId=1279160912, clientId=85, orderId=1523, liquidation=0, cumQty=1.0, avgPrice=20184.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,643 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670ede6.01.01', time=datetime.datetime(2024, 6, 18, 14, 21, 28, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20177.0, permId=1279160941, clientId=85, orderId=1525, liquidation=0, cumQty=1.0, avgPrice=20177.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,648 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670ef61.01.01', time=datetime.datetime(2024, 6, 18, 14, 25, 26, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20174.5, permId=1279160968, clientId=85, orderId=1526, liquidation=0, cumQty=1.0, avgPrice=20174.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,650 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670ef9f.01.01', time=datetime.datetime(2024, 6, 18, 14, 26, 2, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20179.25, permId=1279160999, clientId=85, orderId=1528, liquidation=0, cumQty=1.0, avgPrice=20179.25, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,653 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670f5d0.01.01', time=datetime.datetime(2024, 6, 18, 14, 42, 42, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20176.75, permId=1279161057, clientId=85, orderId=1529, liquidation=0, cumQty=1.0, avgPrice=20176.75, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,662 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670f704.01.01', time=datetime.datetime(2024, 6, 18, 14, 44, 43, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20171.75, permId=1279161119, clientId=85, orderId=1531, liquidation=0, cumQty=1.0, avgPrice=20171.75, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,662 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670f709.01.01', time=datetime.datetime(2024, 6, 18, 14, 44, 45, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20169.25, permId=1279161181, clientId=85, orderId=1532, liquidation=0, cumQty=1.0, avgPrice=20169.25, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
